date;ip;module;key;;
20.07.2020 0:27; 176.59.104.5; SIMCOM_MODULE; sensor=2/1234567890;;
-----------------;;;;;
20.07.2020 0:27; 176.59.104.5; SIMCOM_MODULE; sensor=-5392229870;;
-----------------;;;;;
20.07.2020 0:42; 176.59.104.77; SIMCOM_MODULE; sensor=123;;
-----------------;;;;;
20.07.2020 1:20; 176.59.104.125; SIMCOM_MODULE; sensor=5/222081220812208-48;;
-----------------;;;;;
20.07.2020 1:22; 176.59.104.77; SIMCOM_MODULE; sensor=0000;;
-----------------;;;;;
20.07.2020 1:27; 176.59.104.5; SIMCOM_MODULE; sensor=1234567890123;;
-----------------;;;;;
20.07.2020 1:28; 176.59.104.125; SIMCOM_MODULE; sensor=12345678227483;;
-----------------;;;;;
20.07.2020 1:37; 176.59.104.77; SIMCOM_MODULE; sensor=12345678227483;;
-----------------;;;;;
20.07.2020 1:41; 176.59.104.101; SIMCOM_MODULE; sensor=3/U tvoey mamky1234567890321;;
-----------------;;;;;
20.07.2020 1:43; 176.59.104.29; SIMCOM_MODULE; sensor= Adress: U tvoey mamky;1,11E+12;
-----------------;;;;;
20.07.2020 1:53; 176.59.104.53; SIMCOM_MODULE; sensor=1/101;;
-----------------;;;;;
20.07.2020 1:57; 176.59.100.173; SIMCOM_MODULE; sensor=1/1234567890123;;
-----------------;;;;;
20.07.2020 1:58; 176.59.100.173; SIMCOM_MODULE; sensor=1/1234567890123;;
-----------------;;;;;
20.07.2020 1:58; 176.59.100.173; SIMCOM_MODULE; sensor=1/1234567890123;;
-----------------;;;;;
20.07.2020 14:24; 176.59.97.215; SIMCOM_MODULE; sensor=1/103;;
-----------------;;;;;
20.07.2020 14:24; 176.59.97.215; SIMCOM_MODULE; sensor=14/1233456789012;;
-----------------;;;;;
20.07.2020 14:25; 176.59.97.215; SIMCOM_MODULE; sensor=4/1234567890123;;
-----------------;;;;;
20.07.2020 15:15; 176.59.102.190; Mozilla/5.0 (Linux; Android 9; Redmi 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36; sensor=
-----------------;;;;;
20.07.2020 21:57; 94.181.132.16; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36; sensor=
-----------------;;;;;
